en,ur,en_len,ur_len
and he sent them to bethlehem and said go and search diligently for the young child and when ye have found him bring me word again that i may come and worship him also,اور یہ کہہ کر انہیں بیت لحم کو بھیجا کہ جاکر اس بچے کی بابت ٹھیک ٹھیک دریافت کرو اور جب وہ ملے تو مجھے خبر دو تاکہ میں بھی آکر اسے سجدہ کروں ۔,34,35
when they had heard the king they departed and lo the star which they saw in the east went before them till it came and stood over where the young child was,وہ بادشاہ کی بات سن کر روانہ ہوئے اور دیکھو جو ستارہ انہوں نے پورب میں دیکھا تھا وہ ان کے آگے آگے چلا ۔ یہاں تک کہ اس جگہ کے اوپر جاکر ٹھہر گیا جہاں وہ بچہ تھا ۔,32,40
when they saw the star they rejoiced with exceeding great joy,وہ ستارے کو دیکھ کر نہایت خوش ہوئے ۔,11,9
and being warned of god in a dream that they should not return to herod they departed into their own country another way,اور ہیرودیس کے پاس پھر نہ جانے کی ہدایت خواب میں پاکر دوسری راہ سے اپنے ملک کو روانہ ہوئے ۔,23,21
when he arose he took the young child and his mother by night and departed into egypt,پس وہ اٹھا اور رات کے وقت بچے اور اس کی ماں کو ساتھ لے کر مصر کو روانہ ہوگیا ۔,17,21
and was there until the death of herod that it might be fulfilled which was spoken of the lord by the prophet saying out of egypt have i called my son,اور ہیرودیس کے مرنے تک وہیں رہا تاکہ جو خداوند نے نبی کی معرفت کہا تھا وہ پورا ہو کہ مصر میں سے میں نے اپنے بیٹے کو بلایا ۔,31,30
then was fulfilled that which was spoken by jeremy the prophet saying,اسوقت وہ بات پوری ہوئی جو یرمیاہ نبی کی معرفت کہی گئی تھی کہ,12,14
in rama was there a voice heard lamentation and weeping and great mourning rachel weeping for her children and would not be comforted because they are not,رامہ میں آواز سنائی دی ۔ رونا اور بڑا ماتم ۔ راخل اپنے بچوں کو رو رہی ہے ۔ اور تسلی قبول نہیں کرتی اس لئے کو وہ نہیں ہیں ۔,27,31
but when herod was dead behold an angel of the lord appeareth in a dream to joseph in egypt,جب ہیرودیس مر گیا تو دیکھو خداوند کے فرشتہ نے مصر میں یوسف کو خواب میں دکھائی دے کر کہا کہ,19,21
saying arise and take the young child and his mother and go into the land of israel for they are dead which sought the young child s life,اٹھ اس بچے اور اس کی ماں کو لے کر اسرائیل کے ملک میں چلا جا کیونکہ جو بچے کی جان کے خواہاں تھے وہ مر گئے ۔,28,28
and he arose and took the young child and his mother and came into the land of israel,پس وہ اٹھا اور بچے اور اس کی ماں کو ساتھ لے کر اسرائیل کے ملک میں آگیا ۔,18,19
and he came and dwelt in a city called nazareth that it might be fulfilled which was spoken by the prophets he shall be called a nazarene,اور ناصرۃ نام ایک شہر میں جا بسا تاکہ جو نبیوں کی معرفت کہا گیا تھا وہ پورا ہو کہ وہ ناصری کہلائے گا ۔,27,25
in those days came john the baptist preaching in the wilderness of judaea,ان دنوں میں یوحنا بپتسمہ دینے والا آیا اور یہودیہ کے بیابان میں یہ منادی کرنے لگا کہ,13,18
and saying repent ye for the kingdom of heaven is at hand,توبہ کرو کیونکہ آسمان کی بادشاہی نزدیک آگئی ہے ۔,12,10
for this is he that was spoken of by the prophet esaias saying the voice of one crying in the wilderness prepare ye the way of the lord make his paths straight,یہ وہی ہے جس کا ذکر یسعیاہ نبی کی معرفت یوں ہوا کہ بیابان میں پکارنے والے کی آواز آتی ہے کہ خداوند کی راہ تیار کرو ۔ اس کے راستے سیدھے بناو ۔,32,34
and the same john had his raiment of camel s hair and a leathern girdle about his loins and his meat was locusts and wild honey,یہ یوحنا اونٹ کے بالوں کی پوشاک پہنے اور چمڑے کا پٹکا اپنی کمر سے باندھے رہتا تھا اور اس کی خوراک ٹڈیاں اور جنگلی شہد تھا ۔,26,28
then went out to him jerusalem and all judaea and all the region round about jordan,اسوقت یروشلیم اور سارے یہودیہ اور یردن کے گردونواح کے سب لوگ نکلکر اس کے پاس گئے ۔,16,18
and were baptized of him in jordan confessing their sins,اور اپنے گناہوں کا اقرار کرکے دریای یردن میں اس سے بپتسمہ لیا ۔,10,14
but when he saw many of the pharisees and sadducees come to his baptism he said unto them o generation of vipers who hath warned you to flee from the wrath to come,مگر جب اس نے بہت سے فریسیوں اور صدوقیوں کو بپتسمہ کے لئے اپنے پاس آتے دیکھا تو ان سے کہا کہ اے سانپ کے بچو تم کو کس نے جتا دیا کہ آنے والے غضب سے بھاگو,33,38
bring forth therefore fruits meet for repentance,پس توبہ کے موافق پھل لاو ۔,7,7
and think not to say within yourselves we have abraham to our father for i say unto you that god is able of these stones to raise up children unto abraham,اور اپنے دلوں میں یہ کہنے کا خیال نہ کرو کہ ابرہام ہمارا باپ ہے کیونکہ میں تم سے کہتا ہوں کہ خدا ان پتھروں سے ابرہام کے لئے اولاد پیدا کرسکتا ہے ۔,31,34
and now also the axe is laid unto the root of the trees therefore every tree which bringeth not forth good fruit is hewn down and cast into the fire,اور اب درختوں کی جڑ پر کلہاڑا رکھا ہوا ہے ۔ پس جو درخت اچھا پھل نہیں لاتا وہ کاٹا اور آگ میں ڈالا جاتا ہے ۔,30,27
whose fan is in his hand and he will throughly purge his floor and gather his wheat into the garner but he will burn up the chaff with unquenchable fire,اس کا چھاج اس کے ہاتھ میں ہے اور وہ اپنے کھلیہان کو خوب صاف کرئے گا اور اپنے گیہوں کو تو کھتے میں جمع کرے گا مگر بوسی کو اس آگ میں جلائے گا جو بھجنے کی نہیں ۔,30,40
then cometh jesus from galilee to jordan unto john to be baptized of him,اس وقت یسوع گلیل سے یردن کے کنارے یوحنا کے پاس اس سے بپتسمہ لینے آیا ۔,14,17
but john forbad him saying i have need to be baptized of thee and comest thou to me,مگر یوحنا یہ کہہ کر اسے منع کرنے لگا کہ میں آپ تجھ سے بپتسمہ لینے کا محتاج ہوں اور تو میرے پاس آیا ہے,18,25
and jesus answering said unto him suffer it to be so now for thus it becometh us to fulfil all righteousness then he suffered him,یسوع نے جواب میں اس سے کہا اب تو ہونے ہی دے کیونکہ ہمیں اسی طرح ساری راستبازی پوری کرنا مناسب ہے ۔ اس پر اس نے ہونے دیا ۔,25,30
and jesus when he was baptized went up straightway out of the water and lo the heavens were opened unto him and he saw the spirit of god descending like a dove and lighting upon him,اور یسوع بپتسمہ لے کر فی الفور پانی کے پاس سے اوپر گیا اور دیکھو اس کے لئے آسمان کھل گیا اور اس نے خدا کے روح کو کبوتر کی مانند اترتے اور اپنے اوپر آتے دیکھا ۔,36,38
and lo a voice from heaven saying this is my beloved son in whom i am well pleased,اور دیکھو آسمان سے یہ آواز آئی کہ یہ میرا پیارا بیٹا ہے جس سے میں خوش ہوں ۔,18,19
then was jesus led up of the spirit into the wilderness to be tempted of the devil,اس وقت روح یسوع کو جنگل میں لے گیا تاکہ ابلیس سے آزمایا جائے ۔,17,15
and when he had fasted forty days and forty nights he was afterward an hungred,اور چالیس دن اور چالیس رات فاقہ کرکے آخر کو اسے بھوک لگی ۔,15,14
and when the tempter came to him he said if thou be the son of god command that these stones be made bread,اور آزمانے والے نے پاس آکر اس سے کہا اگر تو خدا کا بیٹا ہے تو فرما کہ یہ پتھر روٹیاں بن جائیں ۔,23,24
but he answered and said it is written man shall not live by bread alone but by every word that proceedeth out of the mouth of god,اس نے جواب میں کہا لکھا ہے کہ آدمی صرف روٹی ہی سے جیتا نہ رہے گا بلکہ ہر بات سے جو خدا کے منہ سے نکلتی ہے ۔,27,29
then the devil taketh him up into the holy city and setteth him on a pinnacle of the temple,تب ابلیس اسے مقدس شہر میں لے گیا اور ہیکل کے کنگرے پر کھڑا کرکے اس سے کہا کہ,19,19
jesus said unto him it is written again thou shalt not tempt the lord thy god,یسوع نے اس سے کہا یہ بھی لکھا ہے کہ تو خداوند اپنے خدا کی آزمایش نہ کر ۔,16,19
again the devil taketh him up into an exceeding high mountain and sheweth him all the kingdoms of the world and the glory of them,پھر ابلیس اسے ایک بہت انچے پہاڑ پر لے گیا اور دنیا کی سب سلطنتیں اور ان کی شان و شوکت اسے دکھائی ۔,25,24
and saith unto him all these things will i give thee if thou wilt fall down and worship me,اور اس سے کہا اگر تو جھک کر مجھے سجدہ کرئے تو یہ سب کچھ تجھے دے دونگا ۔,19,19
then saith jesus unto him get thee hence satan for it is written thou shalt worship the lord thy god and him only shalt thou serve,یسوع نے اس سے کہا اے شیطان دور ہو کیونکہ لکھا ہے کہ تو خداوند اپنے خدا کو سجدہ کر اور صرف اسی کی عبادت کر ۔,26,27
then the devil leaveth him and behold angels came and ministered unto him,تب ابلیس اس کے پاس سے چلا گیا اور دیکھو فرشتے آکر اس کی خدمت کرنے لگے ۔,13,18
now when jesus had heard that john was cast into prison he departed into galilee,جب اس نے سنا کے یوحنا پکڑوا دیا گیا تو گلیل کو روانہ ہوا ۔,15,15
and leaving nazareth he came and dwelt in capernaum which is upon the sea coast in the borders of zabulon and nephthalim,اور ناصرۃ کو چھوڑ کر کفر نحوم میں جا بسا ۔ جو جھیل کے کنارے زبولون اور نفتالی کی سرحد پر ہے ۔,22,23
that it might be fulfilled which was spoken by esaias the prophet saying,تاکہ جو یسعیاہ نبی کی معرفت کہا گیا تھا وہ پورا ہو کہ,13,13
the land of zabulon and the land of nephthalim by the way of the sea beyond jordan galilee of the gentiles,زبولون کا علاقہ اور نفتالی کا علاقہ دریا کی راہ یردن کے پار غیر قوموں کی گلیل ۔,21,18
the people which sat in darkness saw great light and to them which sat in the region and shadow of death light is sprung up,یعنی جو لوگ اندھیرے میں بیٹھے تھے انہوں نے بڑی روشنی دیکھی اور جو موت کے ملک اور سایہ میں بیٹھے تھے ان پر روشنی چمکی ۔,25,27
from that time jesus began to preach and to say repent for the kingdom of heaven is at hand,اس وقت سے یسوع نے منادی کرنا اور یہ کہنا شروع کیا کہ توبہ کرو کیونکہ آسمان کی بادشاہی نزدیک آ گئی ہے ۔,19,24
and jesus walking by the sea of galilee saw two brethren simon called peter and andrew his brother casting a net into the sea for they were fishers,اور اس نے گلیل کی جھیل کے کنارے پھرتے ہوئے دو بھائیوں یعنی شمعون جو پطرس کہلاتا ہے اور اس کے بھائی اندریاس کو جھیل میں جال ڈالتے دیکھا کیونکہ وہ ماہی گیر تھے ۔,28,35
and he saith unto them follow me and i will make you fishers of men,اور ان سے کہا میرے پیچھے چلے آو تو میں تم کو آدم گیر بناونگا ۔,15,16
and they straightway left their nets and followed him,وہ فورا جال چھوڑ کر اس کے پیچھے ہو لئے ۔,9,11
and they immediately left the ship and their father and followed him,وہ فورا کشتی اور اپنے باپ کو چھوڑ کر اس کے پیچھے ہو لئے ۔,12,15
and jesus went about all galilee teaching in their synagogues and preaching the gospel of the kingdom and healing all manner of sickness and all manner of disease among the people,اور یسوع تمام گلیل میں پھرتا رہا اور ان کے عبادت خانوں میں تعلیم دیتا اور بادشاہی کی خوشخبری کی منادی کرتا اور لوگوں کی ہر طرح کی بیماری اور ہر طرح کی کمزوری کو دور کرتا رہا ۔,31,39
and there followed him great multitudes of people from galilee and from decapolis and from jerusalem and from judaea and from beyond jordan,اور گلیل اور دکپلس اور یروشلیم اور یہودیہ اور یردن کے پار بڑی بھیڑ اس کے پیچھے ہولی ۔,23,19
and seeing the multitudes he went up into a mountain and when he was set his disciples came unto him,وہ اس بھیڑ کو دیکھ کر پہاڑ پر چڑھ گیا اور جب بیٹھ گیا تو اس کے شاگرد اس کے پاس آئے ۔,20,23
and he opened his mouth and taught them saying,اور وہ اپنی زبان کھولکر ان کو یوں تعلیم دینے لگا ۔,9,12
blessed are the poor in spirit for theirs is the kingdom of heaven,مبارک ہیں وہ جو دل کے غریب ہیں کیونکہ آسمان کی بادشاہی ان ہی کی ہے ۔,13,17
blessed are they that mourn for they shall be comforted,مبارک ہیں وہ جو غمگین ہیں کیونکہ وہ تسلی پائیں گے ۔,10,12
blessed are the meek for they shall inherit the earth,مبارک ہیں وہ جو حلیم ہیں کیونکہ وہ زمین کے وارث ہونگے ۔,10,13
blessed are they which do hunger and thirst after righteousness for they shall be filled,مبارک ہیں وہ جو راستبازی کے بھوکے اور پیاسے ہیں کیونکہ وہ آسودہ ہونگے ۔,15,15
blessed are the merciful for they shall obtain mercy,مبارک ہیں وہ جو رحمدل ہیں کیونکہ ان پر رحم کیا جائے گا ۔,9,14
blessed are the pure in heart for they shall see god,مبارک ہیں وہ جو پاک دل ہیں کیونکہ وہ خدا کو دیکھیں گے ۔,11,14
blessed are the peacemakers for they shall be called the children of god,مبارک ہیں وہ جو صلح کراتے ہیں کیونکہ وہ خدا کے بیٹے کہلائیں گے ۔,13,15
blessed are they which are persecuted for righteousness sake for theirs is the kingdom of heaven,مبارک ہیں وہ جو راستبازی کے سبب سے ستائے گئے ہیں کیونکہ آسمان کی بادشاہی ان ہی کی ہے ۔,16,20
blessed are ye when men shall revile you and persecute you and shall say all manner of evil against you falsely for my sake,جب میرے سبب سے لوگ تم کو لعن طعن کریں گے اور ستائیں گے اور ہر طرح کی بری باتیں تمہاری نسبت ناحق کہیں گے تو تم مبارک ہوگے ۔,24,30
rejoice and be exceeding glad for great is your reward in heaven for so persecuted they the prophets which were before you,خوشی کرنا اور نہایت شادمان ہونا کیونکہ آسمان پر تمہارا اجر بڑا ہے اس لئے کے لوگوں نے ان نبیوں کو بھی جو تم سے پہلے تھے اسی طرح ستایا تھا ۔,22,32
ye are the light of the world a city that is set on an hill cannot be hid,تم دنیا کے نور ہو ۔ جو شہر پہاڑ پر بسا ہے وہ چھپ نہیں سکتا ۔,18,17
neither do men light a candle and put it under a bushel but on a candlestick and it giveth light unto all that are in the house,اور چراغ جلا کر پیمانہ کے نیچے نہیں بلکہ چراغدان پر رکھتے ہیں تو اس سے گھر کے سب لوگوں کو روشنی پہنچتی ہے ۔,27,25
let your light so shine before men that they may see your good works and glorify your father which is in heaven,اسی طرح تمہاری روشنی آدمیوں کے سامنے چمکے تاکہ وہ تمہارے نیک کاموں کو دیکھ کر تمہارے باپ کی جو آسمان پر ہے تمجید کریں ۔,22,26
think not that i am come to destroy the law or the prophets i am not come to destroy but to fulfil,یہ نہ سمجھو کہ میں توریت یا نبیوں کی کتابوں کو منسوخ کرنے آیا ہوں ۔ منسوخ کرنے نہیں بلکہ پورا کرنے آیا ہوں ۔,22,25
for verily i say unto you till heaven and earth pass one jot or one tittle shall in no wise pass from the law till all be fulfilled,کیونکہ میں تم سے سچ کہتا ہوں کہ جب تک آسمان اور زمین ٹل نہ جائیں ایک نقطہ یا ایک شوشہ توریت سے ہرگز نہ ٹلے گا جب تک سب کچھ پورا نہ ہو جائے ۔,28,36
for i say unto you that except your righteousness shall exceed the righteousness of the scribes and pharisees ye shall in no case enter into the kingdom of heaven,کیونکہ میں تم سے کہتا ہوں کہ اگر تمہاری راستبازی فقیہوں اور فریسیوں کی راستبازی سے زیادہ نہ ہوگی تو تم آسمان کی بادشاہی میں ہرگز داخل نہ ہوگے ۔,29,30
ye have heard that it was said by them of old time thou shalt not kill and whosoever shall kill shall be in danger of the judgment,تم سن چکے ہوکہ اگلوں سے کہا گیا تھا کہ خون نہ کرنا اور جو کوئی خون کرے گا وہ عدالت کی سزا کے لائق ہوگا ۔,27,27
therefore if thou bring thy gift to the altar and there rememberest that thy brother hath ought against thee,پس اگر تو قربان گاہ پر اپنی نذر گزرانتا ہو اور وہاں تجھے یاد آئے کہ میرے بھائی کو مجھ سے کچھ شکایت ہے ۔,19,25
leave there thy gift before the altar and go thy way first be reconciled to thy brother and then come and offer thy gift,تو وہیں قربانگاہ کے آگے اپنی نذر چھوڑ دے اور جاکر پہلے اپنے بھائی سے ملاپ کر تب آکر اپنی نذر گزران ۔,24,23
verily i say unto thee thou shalt by no means come out thence till thou hast paid the uttermost farthing,میں تجھ سے سچ کہتا ہوں کہ جب تک تو کوڑی کوڑی ادا نہ کردے گا وہاں سے ہرگز نہ چھوٹے گا ۔,20,23
ye have heard that it was said by them of old time thou shalt not commit adultery,تم سن چکے ہو کہ کہا گیا تھا کہ زنا نہ کرنا ۔,17,13
but i say unto you that whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart,لیکن میں تم سے یہ کہتا ہوں کہ جس کسی نے بری خواہش سے کسی عورت پر نگاہ کی وہ اپنے دل میں اس کے ساتھ زنا کرچکا ۔,24,29
it hath been said whosoever shall put away his wife let him give her a writing of divorcement,یہ بھی کہا گیا تھا کہ جو کوئی اپنی بیوی کو چھوڑے اسے طلاق نامہ لکھ دے ۔,18,18
again ye have heard that it hath been said by them of old time thou shalt not forswear thyself but shalt perform unto the lord thine oaths,پھر تم سن چکے ہو کہ اگلوں سے کہا گیا تھا کہ جھوٹی قسم نہ کھانا بلکہ اپنی قسمیں خداوند کے لئے پوری کرنا ۔,27,25
but i say unto you swear not at all neither by heaven for it is god s throne,لیکن میں تم سے یہ کہتا ہوں کہ بالکل قسم نہ کھانا ۔ نہ تو آسمان کی کیونکہ وہ خدا کا تخت ہے ۔,18,24
nor by the earth for it is his footstool neither by jerusalem for it is the city of the great king,نہ زمین کی کیونکہ وہ اس کے پاوں کی چوکی ہے ۔ نہ یروشلیم کی کیونکہ وہ بزرگ بادشاہ کا شہر ہے ۔,21,23
neither shalt thou swear by thy head because thou canst not make one hair white or black,نہ اپنے سر کی قسم کھانا کیونکہ تو ایک بال کو بھی سفید یا کالا نہیں کرسکتا ۔,17,18
but let your communication be yea yea nay nay for whatsoever is more than these cometh of evil,بلکہ تمہارا کلام ہاں ہاں یا نہیں نہیں ہو کیونکہ جو اس سے زیادہ ہے وہ بدی سے ہے ۔,18,20
ye have heard that it hath been said an eye for an eye and a tooth for a tooth,تم سن چکے ہو کہ کہا گیا تھا کہ آنکھ کے بدلے آنکھ اور دانت کے بدلے دانت ۔,19,19
but i say unto you that ye resist not evil but whosoever shall smite thee on thy right cheek turn to him the other also,لیکن میں تم سے یہ کہتا ہوں کہ شریر کا مقابلہ نہ کرنا بلکہ جو کوئی تیرے دہنا گال پر طمانچہ مارے دوسرا بھی اس کی طرف پھیر دے ۔,25,30
and if any man will sue thee at the law and take away thy coat let him have thy cloke also,اور اگر کوئی تجھ پر نالش کرکے تیرا کرتا لینا چاہے تو چوغہ بھی اسے لے لینے دے ۔,21,19
and whosoever shall compel thee to go a mile go with him twain,اور جو کوئی تجھے ایک کوس بیگار میں لے جائے اس کے ساتھ دو کوس چلا جا ۔,13,18
give to him that asketh thee and from him that would borrow of thee turn not thou away,جو کوئی تجھ سے مانگے اسے دے اور جو تجھ سے قرض چاہے اس سے منہ نہ موڑ ۔,18,19
ye have heard that it hath been said thou shalt love thy neighbour and hate thine enemy,تم سن چکے ہو کہ کہا گیا تھا کہ اپنے پڑوسی سے محبت رکھ اور اپنے دشمن سے عداوت ۔,17,20
but i say unto you love your enemies bless them that curse you do good to them that hate you and pray for them which despitefully use you and persecute you,لیکن میں تم سے یہ کہتا ہوں کہ اپنے دشمنوں سے محبت رکھو اور اپنے ستانے والوں کے لئے دعا کرو ۔,31,22
that ye may be the children of your father which is in heaven for he maketh his sun to rise on the evil and on the good and sendeth rain on the just and on the unjust,تاکہ تم اپنے باپ کے جو آسمان پر ہے بیٹے ٹھہرو کیونکہ وہ اپنے سورج کو بدوں اور نیکوں دونوں پر چمکاتا ہے اور راستبازوں اور ناراستوں دونوں پر مینہ برساتا ہے ۔,37,33
for if ye love them which love you what reward have ye do not even the publicans the same,کیونکہ اگر تم اپنے محبت رکھنے والوں ہی سے محبت رکھو تو تمہارے لئے کیا اجر ہے کیا محصول لینے والے بھی ایسا نہیں کرتے,19,25
and if ye salute your brethren only what do ye more than others do not even the publicans so,اور اگر تم فقط اپنے بھائیوں ہی کو سلام کرو تو کیا زیادہ کرتے ہو کیا غیرقوموں کے لوگ بھی ایسا نہیں کرتے,19,23
be ye therefore perfect even as your father which is in heaven is perfect,پس چاہیئے کہ تم کامل ہو جیسا تمہارا آسمانی باپ کامل ہے ۔,14,13
take heed that ye do not your alms before men to be seen of them otherwise ye have no reward of your father which is in heaven,خبردار اپنے راستبازی کے کام آدمیوں کے سامنے دکھانے کے لئے نہ کرو ۔ نہیں تو تمہارے باپ کے پاس جو آسمان پر ہے تمہارے لئے کچھ اجر نہیں ہے ۔,27,31
but when thou doest alms let not thy left hand know what thy right hand doeth,بلکہ جب تو خیرات کرے تو جو تیرا دہنا ہاتھ کرتا ہے اسے تیرا بایاں ہاتھ نہ جانے ۔,16,19
that thine alms may be in secret and thy father which seeth in secret himself shall reward thee openly,تاکہ تیری خیرات پوشیدہ رہے ۔ اس صورت میں تیرا باپ جو پوشیدگی میں دیکھتا ہے تجھے بدلہ دے گا ۔,19,21
but thou when thou prayest enter into thy closet and when thou hast shut thy door pray to thy father which is in secret and thy father which seeth in secret shall reward thee openly,بلکہ جب تو دعا کرے تو اپنی کوٹھری میں جا اور دروازہ بند کرکے اپنے باپ سے جو پوشیدگی میں ہے دعا کر ۔ اس صورت میں تیرا باپ جو پوشیدگی میں دیکھتا ہے تجھے بدلہ دے گا ۔,35,39
